,count
Restaurants,63944
Shopping,34644
Food,32991
Home Services,22487
Beauty & Spas,20520
Health & Medical,19227
Local Services,15783
Automotive,14720
Nightlife,14211
Bars,12400
Event Planning & Services,11263
Active Life,10225
Coffee & Tea,8415
Fashion,8374
Fast Food,8106
Sandwiches,8064
American (Traditional),7596
Home & Garden,7331
Hair Salons,7303
Pizza,7302
Professional Services,6923
Arts & Entertainment,6802
Doctors,6767
Auto Repair,6657
Real Estate,6435
Hotels & Travel,6413
Breakfast & Brunch,6225
Burgers,6107
Nail Salons,5451
Specialty Food,5253
Mexican,5207
American (New),5118
Italian,5012
Fitness & Instruction,4861
Chinese,4746
Pets,4402
Hair Removal,4375
Bakeries,4055
Dentists,3870
Grocery,3862
Desserts,3824
Education,3763
Skin Care,3755
Contractors,3614
Cafes,3601
Financial Services,3529
Women's Clothing,3249
Pet Services,3084
Ice Cream & Frozen Yogurt,3034
General Dentistry,3032
Chicken Wings,3012
Apartments,3007
Salad,2988
Japanese,2984
Day Spas,2880
Massage,2835
Caterers,2832
Hotels,2757
Seafood,2753
Waxing,2697
Tires,2597
Venues & Event Spaces,2544
Accessories,2488
Sushi Bars,2448
Gyms,2428
Wine & Spirits,2416
Beer,2416
Oil Change Stations,2407
Sports Bars,2376
Flowers & Gifts,2366
Cosmetics & Beauty Supply,2328
Home Decor,2326
Cosmetic Dentists,2321
Sporting Goods,2311
Auto Parts & Supplies,2250
Car Dealers,2249
Pubs,2229
Furniture Stores,2199
Asian Fusion,2180
Barbers,2173
Convenience Stores,2117
Delis,2079
Eyelash Service,2050
Medical Centers,2044
Trainers,2020
Hair Stylists,2020
Juice Bars & Smoothies,2017
Mediterranean,2012
Canadian (New),1992
Barbeque,1987
Men's Clothing,1986
Arts & Crafts,1961
Massage Therapy,1917
Jewelry,1902
Gas Stations,1855
IT Services & Computer Repair,1839
Electronics,1839
Drugstores,1810
Specialty Schools,1764
Lounges,1762
Department Stores,1711
Real Estate Services,1697
Steakhouses,1696
Pet Groomers,1686
Heating & Air Conditioning/HVAC,1659
Indian,1652
Shoe Stores,1591
Laundry Services,1558
Thai,1547
Banks & Credit Unions,1542
Plumbing,1537
Dry Cleaning & Laundry,1536
Cocktail Bars,1520
Local Flavor,1492
Party & Event Planning,1486
Public Services & Government,1485
Diners,1485
Chiropractors,1455
Landscaping,1452
Body Shops,1448
Middle Eastern,1443
Mags,1437
Books,1437
Music & Video,1437
Medical Spas,1430
Optometrists,1410
Vietnamese,1409
Home Cleaning,1406
Mobile Phones,1381
Pet Sitting,1366
Veterinarians,1362
Car Wash,1304
Wine Bars,1298
Vegetarian,1297
Real Estate Agents,1291
Eyewear & Opticians,1279
Makeup Artists,1278
Lawyers,1270
Pet Stores,1256
Auto Detailing,1245
Movers,1216
Printing Services,1210
Yoga,1208
Sewing & Alterations,1161
Florists,1159
Property Management,1157
Performing Arts,1149
Self Storage,1148
Music Venues,1146
Greek,1145
Transportation,1133
Physical Therapy,1128
Ethnic Food,1101
Kitchen & Bath,1099
Orthodontists,1097
French,1082
Parks,1073
Food Delivery Services,1066
Building Supplies,1057
Flooring,1053
Hair Extensions,1051
Vegan,1037
Discount Store,1033
Carpet Cleaning,1027
Korean,1025
Auto Glass Services,1014
Food Trucks,1014
Car Rental,1011
Insurance,1006
Soup,999
Oral Surgeons,986
Gluten-Free,976
Appliances,956
Appliances & Repair,955
Comfort Food,945
Photographers,944
Tanning,938
Buffets,932
Tobacco Shops,927
Hardware Stores,923
Family Practice,922
Men's Hair Salons,912
Health Markets,886
Tattoo,881
Gift Shops,877
Donuts,872
Dance Clubs,869
Tacos,862
Sports Wear,861
Art Galleries,847
Wedding Planning,847
Shipping Centers,845
Weight Loss Centers,839
Child Care & Day Care,837
Interior Design,837
Hot Dogs,835
Hobby Shops,828
Mattresses,821
Acupuncture,816
Preschools,810
Vintage & Consignment,802
Used,802
Tex-Mex,794
Endodontists,767
Towing,752
Thrift Stores,750
