attribut,type,nombre d'occurrences
BusinessAcceptsCreditCards,str,122237
BusinessParking,str,115215
RestaurantsPriceRange2,str,111288
BikeParking,str,89765
GoodForKids,str,68535
RestaurantsTakeOut,str,66301
WiFi,str,65331
ByAppointmentOnly,str,60799
OutdoorSeating,str,58441
RestaurantsDelivery,str,56679
RestaurantsGoodForGroups,str,56162
RestaurantsReservations,str,55361
Ambience,str,53806
HasTV,str,53388
Alcohol,str,50838
RestaurantsAttire,str,49567
NoiseLevel,str,46559
Caters,str,43969
GoodForMeal,str,35182
WheelchairAccessible,str,28635
RestaurantsTableService,str,20785
DogsAllowed,str,17539
BusinessAcceptsBitcoin,str,16532
HappyHour,str,15324
AcceptsInsurance,str,8660
Music,str,7912
BestNights,str,5483
GoodForDancing,str,5186
CoatCheck,str,4909
DriveThru,str,4282
Smoking,str,4270
BYOBCorkage,str,1425
HairSpecializesIn,str,1260
Corkage,str,1090
BYOB,str,740
AgesAllowed,str,136
DietaryRestrictions,str,61
Open24Hours,str,14
RestaurantsCounterService,str,13
